snake,cost,num_actions
4,27,2
5,17,3
6,22,3
7,34,3
snake,cost,num_actions
4,29,2
5,24,3
snake,cost,num_actions
4,17,2
5,35,4
6,25,2
7,40,7
8,22,3
9,30,1
10,38,3
11,23,1
12,24,2
13,31,4
14,33,5
15,16,3
16,57,7
17,29,2
18,147,14
19,34,3
20,25,4
21,15,2
22,56,5
23,33,4
24,24,2
25,38,5
snake,cost,num_actions
4,25,2
snake,cost,num_actions
4,21,3
5,30,3
6,32,4
7,27,2
8,41,3
9,33,3
10,32,1
11,20,3
snake,cost,num_actions
4,79,8
5,74,12
6,73,8
7,16,2
8,55,8
9,24,2
10,88,13
11,43,7
snake,cost,num_actions
4,17,3
5,17,3
6,33,4
7,38,4
8,21,4
9,21,4
10,34,4
11,27,1
12,21,5
13,19,2
14,14,2
15,19,4
16,21,2
17,22,3
18,35,6
19,19,2
20,39,2
21,43,9
22,18,1
23,19,3
24,26,3
25,33,3
26,23,4
27,27,5
28,33,4
29,9,1
30,32,2
31,37,4
snake,cost,num_actions
4,39,2
5,33,4
6,22,4
7,31,4
8,28,2
9,25,3
10,6,1
11,14,3
12,18,4
13,30,3
14,36,3
15,33,3
16,42,7
17,29,7
18,111,14
19,28,3
20,25,2
21,21,4
22,26,4
23,76,8
24,63,5
25,34,7
26,27,5
27,32,5
28,33,2
29,14,1
30,22,4
31,16,1
32,16,1
33,35,5
34,27,3
35,76,9
36,34,3
37,3,1
38,42,5
39,33,3
40,54,6
41,13,1
snake,cost,num_actions
4,27,3
5,25,1
6,31,3
7,13,2
8,32,3
9,33,2
10,31,2
11,12,2
12,71,9
snake,cost,num_actions
4,28,3
5,40,6
6,23,3
7,16,3
8,23,3
9,26,4
10,27,5
11,41,5
12,55,7
13,7,1
14,12,2
15,35,3
16,28,1
17,25,4
18,38,4
19,34,5
snake,cost,num_actions
4,14,3
5,22,3
6,39,5
7,34,4

snake,cost,num_actions
4,50,5
5,34,2
6,35,2
7,31,3
8,32,2
9,26,2
10,25,3
11,22,3
12,30,3
13,8,1
14,25,3
15,22,2
snake,cost,num_actions
4,36,5
5,42,2
6,15,3
7,33,3
8,70,7
9,29,3
10,49,6
11,22,2
12,11,2
13,30,2
14,57,9
15,31,3
16,47,3
17,21,3
18,24,3
19,41,3
snake,cost,num_actions
4,23,3
5,21,3
6,17,2
7,29,3
8,10,2
9,15,3
10,38,4
11,22,3
12,20,4
13,29,2
14,22,5
15,25,2
16,30,4
17,20,1
18,27,3
19,11,1
20,18,3
21,31,3
22,27,3
23,40,2
24,20,3
25,10,1
26,40,4
27,64,11
28,21,2
29,19,2
30,14,2
31,39,3
32,29,5
33,32,2
34,45,5
35,31,5
36,19,3
37,36,5
38,31,3
39,25,3
40,26,1
41,19,3
42,28,2
43,13,2
44,25,3
45,15,4
snake,cost,num_actions
4,22,2
5,13,2
6,16,3
7,14,2
8,16,3
9,38,3
10,15,2
11,32,5
12,27,3
13,28,1
14,12,3
15,35,3
snake,cost,num_actions
4,41,4
5,62,9
snake,cost,num_actions
4,31,5
5,29,6
6,32,7
7,21,2
8,10,2
9,21,3
10,14,3
11,15,3
12,21,2
13,23,3
14,13,3
15,18,1
16,20,2
17,11,2
18,21,3
19,18,2
20,34,6
21,17,2
22,32,3
23,42,4
24,33,2
25,44,3
26,33,3
27,12,2
28,27,2
29,29,6
30,24,4
31,38,5
32,47,4
33,35,3
34,28,3
35,28,3
36,15,1
37,21,4
38,40,3
39,38,4
40,107,15
41,37,4
42,14,2
43,64,9
44,34,3
45,34,1
46,42,3
47,14,1
48,14,1
49,92,8
50,85,10
51,26,4
snake,cost,num_actions
4,8,0
5,34,4
6,29,3
7,21,3
8,34,5
9,19,4
10,26,3
11,51,7
12,23,3
13,22,2
14,17,3
15,38,5
16,27,3
17,6,1
18,11,2
19,53,7
20,37,2
snake,cost,num_actions
4,30,2
5,8,2
6,23,3
7,18,4
8,40,3
9,42,3
10,26,4
11,22,4
12,9,2
13,11,2
14,15,1
15,11,1
16,11,2
17,18,1
18,30,3
19,33,3
20,27,2
21,33,3
22,72,9
23,24,2
24,19,3
25,20,2
26,35,5
27,31,4
28,33,2
29,70,9
30,27,3
31,29,3
32,32,3
snake,cost,num_actions
4,19,2
5,9,2
6,25,3
7,33,3
8,20,3
9,35,4
10,37,2
11,32,6
snake,cost,num_actions
4,24,2
5,17,3
6,31,3
7,31,1
8,36,4
9,30,4
10,40,5
11,12,3
12,37,6
13,19,1
14,44,9
15,34,4
16,31,5
17,22,3
18,49,8
19,28,2
20,16,1
21,8,1
22,16,2
23,17,3
24,28,3
25,39,4
26,30,3
27,27,2
28,27,2
29,29,3
30,32,3
31,31,3
32,39,2
33,32,4
34,30,4
35,14,2
36,23,3
37,49,5
38,29,4
39,35,3
40,29,2
41,33,4
42,21,3
43,24,3
44,44,4
45,19,1
46,20,1
47,24,3
48,53,7
snake,cost,num_actions
4,45,4
5,16,3
6,22,4
7,23,2
8,26,2
9,37,4
10,25,4
11,32,5
12,65,10
13,22,2
14,21,4
15,17,3
16,12,1
17,15,1
18,43,3
19,14,2
20,15,2
21,30,5
22,23,1
23,44,7
24,38,5
25,39,5
26,30,2
27,3,1
28,37,3
29,43,2
30,37,4
31,51,5
32,27,3
33,30,2
34,25,2
35,50,7
36,69,11
37,19,1
38,20,1
39,74,10
40,48,5
41,48,5
42,9,2
43,58,8
44,48,3
45,19,5
