length,count_step
4,821
length,count_step
4,121
length,count_step
4,904
length,count_step
4,180
length,count_step
4,606
length,count_step
4,492
length,count_step
4,385
length,count_step
4,256
5,104
6,51
length,count_step
4,58
length,count_step
4,410
length,count_step
4,506
5,58
length,count_step
4,130
length,count_step
4,82
length,count_step
4,142
length,count_step
4,339
length,count_step
4,112
length,count_step
4,29
length,count_step
4,281
length,count_step
4,46
length,count_step
4,84
5,30
6,15
7,65
8,42
length,count_step
4,141
length,count_step
4,118
5,32
6,118
length,count_step
4,141
5,26
6,55
length,count_step
4,144
length,count_step
4,44
length,count_step
4,87
5,55
length,count_step
4,215
5,87
6,33
7,24
length,count_step
4,90
5,37
6,10
length,count_step
4,63
5,40
6,17
length,count_step
4,77
5,11
6,107
length,count_step
4,28
5,45
6,61
length,count_step
4,33
5,16
6,103
length,count_step
4,50
5,9
6,18
length,count_step
4,100
5,79
6,67
length,count_step
4,158
5,11
6,4
7,85
length,count_step
4,36
5,32
6,42
7,21
8,21
length,count_step
4,23
5,34
6,29
length,count_step
4,31
5,15
length,count_step
4,136
5,12
6,11
7,43
8,51
9,6
10,8
11,24
12,14
13,6
14,17
15,29
16,45
length,count_step
4,93
5,10
6,15
7,44
8,22
9,66
10,28
11,11
12,46
13,39
length,count_step
4,72
5,20
6,18
7,35
8,45
9,38
length,count_step
4,34
5,27
6,36
7,31
8,28
9,33
10,14
11,15
12,15
13,20
14,22
15,59
16,41
length,count_step
4,22
5,49
6,30
7,31
8,37
9,16
10,38
11,9
12,23
13,44
14,31
15,17
16,47
17,13
18,32
19,11
20,27
21,126
22,47
23,22
24,26
25,26
26,31
27,39
28,9
29,37
30,9
31,31
length,count_step
4,50
5,32
6,14
7,14
8,24
9,32
10,9
11,22
12,30
13,14
14,18
15,24
16,10
17,23
18,89
19,28
20,35
21,14
22,37
23,38
24,22
25,70
26,11
27,18
28,8
29,19
30,20
31,13
32,5
33,18
length,count_step
4,29
5,29
6,23
7,26
8,3
9,111
10,20
11,15
12,6
13,36
14,37
15,32
16,40
17,9
18,47
19,53
20,23
21,24
22,7
23,5
24,39
25,25
26,42
27,38
28,17
29,38
30,47
31,55
32,24
33,11
34,28
35,22
36,41
37,40
38,30
39,30
40,18
41,61
42,42
43,1
44,69
45,49
46,43
47,20
48,9
49,57
50,21
51,35
52,13
53,23
length,count_step
4,58
5,30
6,31
7,8
8,28
9,20
10,22
11,54
12,9
13,23
14,15
15,5
16,27
17,18
18,45
19,47
20,20
21,33
22,45
23,46
24,10
length,count_step
4,25
5,11
6,22
7,44
8,19
9,9
10,21
11,37
12,27
13,8
14,10
15,29
16,28
17,23
18,19
19,9
20,26
21,8
22,41
23,43
24,33
25,23
26,16
27,58
28,28
length,count_step
4,121
5,19
6,22
7,16
8,26
9,37
10,19
11,25
12,31
13,28
14,21
15,27
16,4
17,30
18,30
19,10
length,count_step
4,32
5,40
6,20
7,18
8,7
9,11
10,9
11,16
12,25
13,11
14,31
15,11
16,6
17,35
18,9
length,count_step
4,78
5,29
6,24
7,10
8,8
9,22
10,12
11,25
12,31
13,41
14,4
15,18
16,3
17,18
18,127
19,93
20,4
21,32
22,19
23,14
24,6
length,count_step
4,55
5,69
6,8
7,18
8,14
9,13
10,4
11,24
12,29
13,15
14,32
15,10
16,37
17,15
18,8
19,14
20,31
21,21
22,54
23,36
24,7
25,22
26,11
27,11
28,22
29,15
30,21
31,52
32,39
33,26
34,10
length,count_step
4,33
5,34
6,46
7,18
8,7
9,51
10,10
11,7
12,33
13,21
